Ticker,Name,Exchange
AON,Aon Plc,NYSE
AOS,Smith [A.O.] Corp.,NYSE
AP,Ampco-Pittsburgh Corp.,NYSE
APA,Apache Corp.,NYSE
APA-D,Apache Corporation,NYSE
APAM,Artisan Partners Asset Manageme,NYSE
APB,Asia Pacific Fund,NYSE
APC,Anadarko Petroleum Corp.,NYSE
APD,Air Products And Chemicals,NYSE
APF,Morgan Stanley Asia Pacific Fund,NYSE
APH,Amphenol Corp.,NYSE
APL,Atlas Pipeline Partners L.P.,NYSE
APO,Apollo Global Management LLc C,NYSE
APU,Amerigas Partners L.P.,NYSE
ARB,Arbitron,NYSE
ARC,American Reprographics Company,NYSE
ARDC,Ares Dynamic Credit Allocation,NYSE
ARE,Alexandria Real Estate Equities,NYSE
ARE-E,Alexandria Real Estate Equite,NYSE
ARG,Airgas,NYSE
ARH-C,Arch Capital Group. 6.75% P,NYSE
ARI,Apollo Commercial Real Estate,NYSE
ARI-A,Apollo Commercial Real Estate,NYSE
ARK,Senior Highome Portfolio,NYSE
ARL,American Realty Investors,NYSE
ARN,Ares Capital Corporation 7.00%,NYSE
ARO,Aeropostale,NYSE
ARP,Atlas Resource Partners L.P. C,NYSE
ARPI,American Residential Properties,NYSE
ARR,Armour Residential R,NYSE
ARR-A,Armour Residential REIT,NYSE
ARR-B,Armour Residential REIT,NYSE
ARSD,Arabian American Development,NYSE
ARU,Ares Capital Corporation  ,NYSE
ARW,Arrow Electronics,NYSE
ARX,Aeroflex Holding,NYSE
ARY,Ares Capital Corp.,NYSE
ASA,Asa Gold And Precious Metals,NYSE
ASC,Ardmore Shipping Corporation,NYSE
ASG,Liberty All-Star Growth Fund,NYSE
ASGN,On Assignment,NYSE
ASH,Ashland,NYSE
ASI,American Safety Insurance Holdings,NYSE
ASP,American Strategicome Portfolio,NYSE
ASR,Grupo Aeroporuario Del Sureste,NYSE
ASX,Advanced Semiconductor Engineering,NYSE
AT,Atlantic Power Corp.,NYSE
ATE,Advantest Corporation Ads,NYSE
ATHL,Athlon Energy,NYSE
ATI,Allagheny,NYSE
ATK,Alliant Techsystems,NYSE
ATLS,Atlas Energy Corp.,NYSE
ATO,Atmos Energy Llc,NYSE
ATR,Aptargroup,NYSE
ATU,Actuant Corp.,NYSE
ATV,Acorn International,NYSE
ATW,Atwood Oceanics,NYSE
AU,Anglogold Ashanti,NYSE
AU-A,Anglogold Ashanti Holdings Fin,NYSE
AUO,Au Optronics Corp,NYSE
AUQ,Aurico Gold,NYSE
AUY,Yamana Gold,NYSE
AV,Aviva Plc,NYSE
AVA,Avista Corp.,NYSE
AVB,Avalonbay Communities,NYSE
AVD,American Vanguard Corp.,NYSE
AVG,Avg N.V.,NYSE
AVIV ,Aviv REIT Common Stock,NYSE
AVK,Advent Claymore Convertible Securities,NYSE
AVP,Avon Products,NYSE
AVT,Avnet,NYSE
AVV,Aviva Plc,NYSE
AVX,Avx Corp.,NYSE
AVY,Avery Dennison Corp.,NYSE
AWC,Alumina,NYSE
AWF,Alliance World Dollar Fund II,NYSE
AWH,Allied World Assurance Company,NYSE
AWI,Armstrong World Industries,NYSE
AWK,American Water Works,NYSE
AWP,Alpine Global Premier Propertie,NYSE
AWR,American States Water Company,NYSE
AXE,Anixter International,NYSE
AXL,American Axle & Manufacturing,NYSE
AXLL,Georgia Gulf Corp.,NYSE
AXP,American Express Company,NYSE
AXR,Amrep Corp.,NYSE
AXS,Axis Capital Holdings,NYSE
AXS-C,Axis Capital Holdings Limited P,NYSE
AXS-D,Axis Capital Holdings Limited  ,NYSE
AYI,Acuity Brands,NYSE
